fips,median_age,white_pct,black_pct,hispanic_pct
01001,39.2,73.6,20.0,0.8
01003,43.7,82.8,8.0,1.6
01005,40.7,44.0,46.9,0.9
01007,41.3,75.1,20.7,1.9
01009,40.9,89.5,1.3,1.7
01011,40.4,22.9,71.2,0.1
01013,42.2,51.2,44.7,0.8
01015,39.0,71.0,22.0,1.3
01017,41.5,55.4,39.8,0.8
01019,47.4,91.3,3.8,1.8
01021,39.5,80.9,9.2,2.3
01023,47.0,56.7,38.2,2.3
01025,42.5,51.5,45.4,0.6
01027,43.8,80.5,13.0,0.9
01029,42.3,92.8,3.9,0.9
01031,38.8,71.5,16.6,2.7
01033,42.3,78.0,15.8,1.4
01035,46.3,50.2,45.8,0.9
01037,50.3,64.6,29.7,1.2
01039,42.8,83.2,11.7,1.4
01041,42.4,70.6,23.4,1.2
01043,41.1,91.0,1.1,1.5
01045,38.0,68.6,21.2,2.1
01047,40.3,27.2,70.5,0.7
01049,39.6,81.3,1.3,3.8
01051,38.9,73.3,21.1,1.0
01053,40.5,61.0,30.7,5.9
01055,41.8,77.3,15.0,1.4
01057,42.8,84.5,12.3,0.8
01059,38.6,75.7,4.0,2.1
01061,44.0,84.3,8.6,2.0
01063,44.4,17.9,81.5,0.1
01065,41.0,38.4,55.8,0.5
01067,45.0,71.0,25.2,1.4
01069,40.3,65.5,27.2,1.3
01071,43.4,89.0,3.0,3.4
01073,37.8,49.3,42.5,1.1
01075,44.5,86.6,9.3,0.8
01077,40.7,83.5,9.7,1.2
01079,42.8,76.1,9.9,9.6
01081,33.6,67.7,22.3,1.1
01083,40.5,75.3,12.8,2.4
01085,42.7,24.5,74.5,0.3
01087,37.8,17.1,78.3,1.6
01089,38.2,64.2,24.3,2.0
01091,41.1,45.0,51.3,0.9
01093,43.8,91.4,3.6,1.7
01095,38.6,82.1,2.6,3.0
01097,38.4,56.1,36.0,1.7
01099,43.9,53.7,42.2,1.9
01101,36.9,31.8,58.8,0.8
01103,40.3,75.4,13.1,2.8
01105,42.5,28.0,71.0,0.7
01107,42.5,58.2,39.3,0.8
01109,31.7,56.1,37.4,1.5
01111,44.0,75.6,16.5,3.4
01113,37.2,46.6,45.5,1.2
01115,41.0,84.3,9.9,0.9
01117,40.0,76.5,13.2,1.0
01119,34.9,25.9,71.2,1.0
01121,42.2,62.7,31.7,0.9
01123,45.4,68.7,23.4,3.2
01125,33.0,60.9,32.0,0.9
01127,41.3,87.9,6.1,1.0
01129,44.1,66.9,22.7,8.4
01131,42.0,27.6,70.7,0.7
01133,45.3,92.8,1.2,2.1
02013,41.8,16.6,6.0,43.8
02016,39.1,24.6,5.3,11.4
