fips,county_name,unemployment_rate,median_income,poverty_rate,public_workers_pct
01001,"Autauga County, Alabama",2.5,69841.0,10.7,10.1
01003,"Baldwin County, Alabama",3.2,75019.0,10.5,10.1
01005,"Barbour County, Alabama",5.7,44290.0,21.9,8.6
01007,"Bibb County, Alabama",10.0,51215.0,20.5,3.4
01009,"Blount County, Alabama",5.8,61096.0,14.1,5.9
01011,"Bullock County, Alabama",5.9,36723.0,25.7,5.2
01013,"Butler County, Alabama",6.8,44881.0,21.0,10.7
01015,"Calhoun County, Alabama",6.4,55826.0,17.5,9.0
01017,"Chambers County, Alabama",5.0,49295.0,15.5,7.6
01019,"Cherokee County, Alabama",3.4,50769.0,14.5,6.7
01021,"Chilton County, Alabama",5.4,61873.0,13.6,6.3
01023,"Choctaw County, Alabama",5.5,44483.0,19.5,5.8
01025,"Clarke County, Alabama",13.2,49167.0,20.5,5.2
01027,"Clay County, Alabama",3.5,51852.0,16.5,4.2
01029,"Cleburne County, Alabama",1.5,53319.0,13.2,7.3
01031,"Coffee County, Alabama",4.3,64672.0,17.6,9.1
01033,"Colbert County, Alabama",3.3,56736.0,16.9,9.0
01035,"Conecuh County, Alabama",8.3,42266.0,27.6,7.3
01037,"Coosa County, Alabama",5.1,57063.0,11.6,7.9
01039,"Covington County, Alabama",4.6,50886.0,18.0,6.1
01041,"Crenshaw County, Alabama",4.9,49040.0,16.2,4.6
01043,"Cullman County, Alabama",4.2,60916.0,13.9,7.4
01045,"Dale County, Alabama",6.8,53955.0,18.7,10.5
01047,"Dallas County, Alabama",10.9,36810.0,29.0,6.9
01049,"DeKalb County, Alabama",4.2,51149.0,20.4,6.5
01051,"Elmore County, Alabama",3.9,75553.0,10.3,8.7
01053,"Escambia County, Alabama",9.1,44447.0,21.2,11.7
01055,"Etowah County, Alabama",6.3,53070.0,17.1,8.4
01057,"Fayette County, Alabama",9.5,50733.0,18.7,6.3
01059,"Franklin County, Alabama",3.6,51493.0,17.4,4.6
01061,"Geneva County, Alabama",4.9,50951.0,19.1,7.8
01063,"Greene County, Alabama",3.3,31495.0,35.9,7.6
01065,"Hale County, Alabama",5.9,41325.0,23.9,9.7
01067,"Henry County, Alabama",3.3,60135.0,15.8,5.0
01069,"Houston County, Alabama",4.6,57531.0,18.0,8.5
01071,"Jackson County, Alabama",5.4,49454.0,16.8,6.6
01073,"Jefferson County, Alabama",4.8,64589.0,16.3,8.5
01075,"Lamar County, Alabama",6.4,47447.0,15.1,2.0
01077,"Lauderdale County, Alabama",3.9,59082.0,13.6,9.6
01079,"Lawrence County, Alabama",2.1,60040.0,13.7,4.7
01081,"Lee County, Alabama",3.7,61123.0,18.9,9.3
01083,"Limestone County, Alabama",3.7,83534.0,10.1,7.5
01085,"Lowndes County, Alabama",7.2,35160.0,29.6,4.0
01087,"Macon County, Alabama",10.7,45951.0,22.1,14.5
01089,"Madison County, Alabama",3.8,83528.0,10.5,7.5
01091,"Marengo County, Alabama",2.4,44205.0,22.6,6.8
01093,"Marion County, Alabama",6.2,50714.0,16.8,6.3
01095,"Marshall County, Alabama",3.7,60946.0,16.3,7.5
01097,"Mobile County, Alabama",5.3,58119.0,16.3,9.0
01099,"Monroe County, Alabama",11.9,40225.0,22.6,6.2
01101,"Montgomery County, Alabama",6.0,58153.0,19.3,8.5
01103,"Morgan County, Alabama",4.0,64858.0,13.6,7.5
01105,"Perry County, Alabama",15.8,34368.0,31.2,19.8
01107,"Pickens County, Alabama",6.5,47014.0,22.6,5.0
01109,"Pike County, Alabama",3.9,47961.0,23.4,8.0
01111,"Randolph County, Alabama",2.8,51551.0,18.4,5.1
01113,"Russell County, Alabama",6.6,50046.0,22.2,8.5
01115,"St. Clair County, Alabama",4.5,78993.0,11.2,7.4
01117,"Shelby County, Alabama",2.9,93543.0,6.9,7.3
01119,"Sumter County, Alabama",8.6,37981.0,28.1,10.3
01121,"Talladega County, Alabama",8.1,56249.0,17.7,7.1
01123,"Tallapoosa County, Alabama",7.5,57185.0,15.2,7.9
01125,"Tuscaloosa County, Alabama",5.4,63947.0,16.7,8.4
01127,"Walker County, Alabama",4.4,54509.0,18.0,9.3
01129,"Washington County, Alabama",6.2,60503.0,18.4,3.1
01131,"Wilcox County, Alabama",12.1,42236.0,29.0,3.8
01133,"Winston County, Alabama",4.2,48032.0,19.5,4.4
02013,"Aleutians East Borough, Alaska",3.8,72692.0,12.4,1.9
02016,"Aleutians West Census Area, Alaska",4.1,107344.0,9.2,4.4
